time,pessure,tempF,alt_m,alt_f,kalman_alt_f,adxl335X,adxl335Y,adxl335Z,adxl377X,adxl377Y,angVelX,angVelY,angVelZ,Lat,Long,GPSAlt_mm,GPSAlt_f,Vel
2305112,83880,40.68,1.35,4.429134,1.02402,334,342,338,339,339,-0.02,-0.03,-0.1,4.08860832E+08,-1.04637907E+09,1648126,-0.27430164979105,-2.91630222222222
2305337,83884,40.68,1.15,3.772966,1.02402,334,342,337,339,340,-0.02,-0.03,-0.1,4.08860832E+08,-1.04637907E+09,1648121,-0.290705849266115,-1.73589417989418
2305715,83884,40.66,0.95,3.116798,1.02402,334,342,337,339,339,-0.02,-0.03,-0.09,4.08860832E+08,-1.04637907E+09,1648119,-0.297267529056142,3.33080203045685
2305912,83882,40.66,1.15,3.772966,1.02402,334,342,337,339,339,-0.02,-0.03,-0.1,4.08860832E+08,-1.04637907E+09,1648122,-0.287425009371102,-8.74890666666667
2306137,83882,40.67,0.55,1.804462,1.02402,334,342,337,339,339,-0.02,-0.03,-0.1,4.08860832E+08,-1.04637907E+09,1648134,-0.248054930630945,0
2306513,83886,40.65,0.55,1.804462,1.02402,334,342,337,339,339,-0.02,-0.03,-0.1,4.08860832E+08,-1.04637907E+09,1648127,-0.271020809896037,9.99240609137056
2306710,83886,40.66,1.15,3.772966,1.02643,341,312,314,341,335,-0.02,-0.03,-0.1,4.08860832E+08,-1.04637907E+09,1648139,-0.231650731155879,244.371086995516
2306933,83776,40.66,17.76,58.2677184,1.16675,313,342,326,338,339,0.09,0,-0.05,4.08860832E+08,-1.04637907E+09,1648143,-0.218527371575827,-120.131767676768
2307131,83764,40.67,10.51,34.4816284,1.30675,318,359,325,339,339,0.19,-0.03,-0.13,4.08860832E+08,-1.04637901E+09,1648173,-0.120102174725433,167.8477744
2307381,83628,40.68,23.3,76.443572,1.78675,312,377,325,339,340,-0.56,-0.43,-0.09,4.08860864E+08,-1.04637894E+09,1648135,-0.244774090735932,263.029629714286
2307731,83342,40.67,51.36,168.5039424,3.96675,364,319,325,337,338,-2,-0.26,0.19,4.08860864E+08,-1.04637856E+09,1648420,0.690265279342808,419.741547982063
2307954,83045,40.68,79.89,262.1063076,14.17675,339,358,325,338,339,1.9,0.23,-0.12,4.08860864E+08,-1.04637824E+09,1648647,1.43501593551079,354.595838383838
2308152,82826,40.68,101.29,332.3162836,48.62675,352,327,327,338,339,2.89,-0.33,0.04,4.08860992E+08,-1.04637792E+09,1648636,1.39892669666564,500.836915136476
2308555,82198,40.66,162.81,534.1535604,126.52677,362,321,329,338,339,4.07,0.04,-0.21,4.08861152E+08,-1.04637677E+09,1648747,1.7630999250121,472.887079886686
2308908,81725,40.65,213.69,701.0826996,198.2524,362,289,340,338,339,4.5,-0.06,0.01,4.08861344E+08,-1.04637536E+09,1649091,2.89170884889661,265.298381725888
2309105,81619,40.67,229.62,753.3464808,223.89246,361,329,341,338,339,4.7,-0.06,-0.18,4.08861504E+08,-1.04637453E+09,1649298,3.57084270716433,270.013132
2309305,81430,40.66,246.08,807.3491072,238.97252,351,309,341,339,339,4.43,0.02,-0.17,4.08861664E+08,-1.04637376E+09,1649487,4.19092144732181,387.435879396985
2309504,81190,40.67,269.58,884.4488472,257.07257,346,327,340,339,339,3.91,-0.1,0,4.0886176E+08,-1.04637306E+09,1649649,4.72241751031394,392.229571300448
2309727,80940,40.66,296.24,971.9160416,280.6526,355,327,340,338,339,3.92,-0.05,-0.08,4.0886192E+08,-1.04637235E+09,1649901,5.54918916385724,346.736491370558
2309924,80735,40.66,317.06,1040.2231304,304.06268,347,310,340,338,338,3.75,-0.09,-0.07,4.0886208E+08,-1.04637165E+09,1650230,6.62858548931656,383.708393908629
2310121,80526,40.67,340.1,1115.813684,327.3827,342,320,340,339,339,3.52,-0.04,-0.04,4.08862272E+08,-1.04637094E+09,1650602,7.84905793026144,365.343790954774
2310320,80300,40.66,362.26,1188.5170984,349.95273,351,316,340,338,339,3.71,-0.01,-0.19,4.08862432E+08,-1.04637024E+09,1650872,8.73488470191499,345.404170558376
2310517,80105,40.66,383,1256.56172,371.1728,351,332,340,339,339,3.33,-0.01,-0.07,4.0886272E+08,-1.04636947E+09,1650375,7.10430727409346,325.730034080717
2310740,79897,40.65,405.14,1329.1995176,392.6628,350,321,340,339,339,3.31,-0.06,-0.16,4.08862912E+08,-1.0463687E+09,1650468,7.40942538432969,322.385270471464
2311143,79527,40.63,444.74,1459.1207816,425.63287,365,335,340,338,339,3.08,0.01,-0.12,4.0886304E+08,-1.04636723E+09,1650645,7.99013404574701,309.472374670185
2311522,79184,40.62,480.49,1576.4108116,463.9229,351,323,340,338,339,3.11,0.13,-0.15,4.08863264E+08,-1.0463657E+09,1651396,10.4540448069019,273.958467005076
2311719,79033,40.63,496.94,1630.3806296,487.88297,336,328,340,339,339,2.69,0.02,-0.04,4.08863392E+08,-1.04636506E+09,1651832,11.8844910011276,274.563226262626
2311917,78870,40.63,513.51,1684.7441484,504.81296,343,336,340,338,340,2.46,-0.13,-0.16,4.08863424E+08,-1.04636435E+09,1652580,14.3385592425974,264.621286868687
2312115,78720,40.64,529.48,1737.1391632,519.693,342,322,339,339,339,2.37,0.08,0.05,4.08863392E+08,-1.04636371E+09,1653339,16.8287167229124,275.124247715736
2312312,78579,40.64,546,1791.33864,534.86304,340,336,340,339,339,2.3,-0.05,-0.05,4.08863392E+08,-1.04636307E+09,1654591,20.9363282714688,222.664115736041
2312509,78443,40.64,559.37,1835.2034708,548.93304,336,333,339,339,339,2.57,-0.01,-0.13,4.08863392E+08,-1.04636243E+09,1656276,26.4645434945659,257.356343718593
